model,context_target,context_length,nominal_budget,effective_budget,effective_tokens,iso_condition,quant_bits,quant_byte_cost,physical_byte_cost,arm,arm_label,protection,eviction,promotion,promotion_id,full_fraction,recency_window,sink,seed,accuracy,k,n_turns,n_full,n_quant,bytes,n_protected_lines,oracle_oversubscribed,dormancy_events,dormancy_max_run,quant_calls,quant_violations,quant_max_levels
Qwen/Qwen2.5-1.5B-Instruct,1029,1036,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,23,0.0,0,6,128,129,160.25,9,False,0,0,2240,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1038,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,24,0.0,0,6,128,129,160.25,8,False,0,0,1848,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1029,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,25,0.0,0,6,128,129,160.25,9,False,0,0,5096,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1027,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,26,0.0,0,6,128,129,160.25,9,False,0,0,1400,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,27,0.0,0,6,128,129,160.25,9,False,0,0,616,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,28,0.0,0,6,128,129,160.25,9,False,0,0,3080,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,29,0.0,0,6,128,129,160.25,9,False,0,0,1008,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1030,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,30,0.0,0,6,128,129,160.25,9,False,0,0,560,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1024,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,31,0.0,0,6,128,129,160.25,9,False,0,0,1848,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,32,0.0,0,6,128,129,160.25,9,False,0,0,1400,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1030,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,33,0.0,0,6,128,129,160.25,10,False,0,0,4648,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1018,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,34,0.0,0,6,128,129,160.25,10,False,0,0,6832,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1027,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,35,0.0,0,6,128,129,160.25,9,False,0,0,5096,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1028,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,36,0.0,0,6,128,129,160.25,9,False,0,0,2296,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1032,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,37,0.0,0,6,128,129,160.25,9,False,0,0,2184,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1037,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,38,0.0,0,6,128,129,160.25,9,False,0,0,3640,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1042,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,39,0.0,0,6,128,129,160.25,8,False,0,0,1680,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1024,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,40,0.0,0,6,128,129,160.25,9,False,0,0,3416,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1038,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,41,0.0,0,6,128,129,160.25,9,False,0,0,1568,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1033,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,42,0.0,0,6,128,129,160.25,9,False,0,0,616,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1028,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,43,0.0,0,6,128,129,160.25,9,False,0,0,3696,0,8
