contrast,label,n,mean_a,mean_b,mean_diff,median_diff,median_ci_lo,median_ci_hi,mean_ci_lo,mean_ci_hi,n_differ,n_a_better,n_b_better,p_perm,p_bh,median_ci_zero_width,equivalent_at_005
P1 (attention) vs P3 (random),P1 vs P3,150,0.18111111111111108,0.11333333333333333,0.06777777777777777,0.0,0.0,0.0,0.04777777777777777,0.08888888888888888,63,54,9,9.999000099990002e-05,0.00019998000199980003,True,False
P2 (epiphany) vs P3 (random),P2 vs P3,150,0.1411111111111111,0.11333333333333333,0.027777777777777773,0.0,0.0,0.0,0.014444444444444444,0.041111111111111105,36,30,6,9.999000099990002e-05,0.00019998000199980003,True,True
P4 (roundrobin) vs P3 (random),P4 vs P3,150,0.11666666666666667,0.11333333333333333,0.0033333333333333335,0.0,0.0,0.0,-0.006666666666666667,0.013333333333333334,21,12,9,0.6708329167083291,0.6708329167083291,True,True
P5 (oracle) vs P3 (random),P5 vs P3,150,0.13777777777777775,0.11333333333333333,0.024444444444444442,0.0,0.0,0.0,0.012222222222222221,0.03777777777777777,35,28,7,0.0008999100089991,0.0011998800119988001,True,True
