label,n,mean_a,mean_b,mean_diff,median_diff,median_ci_lo,median_ci_hi,mean_ci_lo,mean_ci_hi,n_differ,n_a_better,n_b_better,p_perm,p_bh,median_ci_zero_width,equivalent_at_005
interaction b154,150,-0.006666666666666667,0.0,-0.006666666666666667,0.0,0.0,0.0,-0.012222222222222221,-0.0022222222222222222,6,0,6,0.032296770322967704,0.04844515548445155,True,True
interaction b257,150,0.013333333333333336,0.0,0.013333333333333336,0.0,0.0,0.0,-0.008888888888888887,0.03555555555555556,69,39,30,0.2802719728027197,0.2802719728027197,True,True
interaction b514,150,-0.11555555555555558,0.0,-0.11555555555555558,-0.16666666666666666,-0.16666666666666666,-5.551115123125783e-17,-0.14444444444444446,-0.08555555555555557,112,18,94,9.999000099990002e-05,0.00029997000299970003,False,False
